index,qrCode,location,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre
7,NA,Ames,NA,NA,0,4232,NA,NA,22,16,NA,NA,NA,NA,NA,NA,NA
12,NA,Ames,NA,NA,0,4232,NA,NA,22,30,NA,NA,NA,NA,NA,NA,NA
18,NA,Ames,NA,NA,0,4232,NA,NA,22,31,NA,NA,NA,NA,NA,NA,NA
5,NA,Crawfordsville,NA,NA,0,4352,NA,NA,2,9,NA,NA,NA,NA,NA,NA,NA
8,NA,Crawfordsville,NA,NA,0,4352,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA
9,NA,Crawfordsville,NA,NA,0,4352,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA
0,NA,Crawfordsville,NA,NA,0,4352,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2,NA,Crawfordsville,NA,NA,0,4352,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA
11,NA,Crawfordsville,NA,NA,0,4352,NA,NA,3,21,NA,NA,NA,NA,NA,NA,NA
6,NA,Crawfordsville,NA,NA,0,4352,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA
1,NA,Crawfordsville,NA,NA,0,4352,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA
3,NA,Crawfordsville,NA,NA,0,4352,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA
4,NA,Crawfordsville,NA,NA,0,4352,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA
10,NA,Crawfordsville,NA,NA,0,4352,NA,NA,7,14,NA,NA,NA,NA,NA,NA,NA
12,NA,Crawfordsville,NA,NA,0,4352,NA,NA,8,22,NA,NA,NA,NA,NA,NA,NA
7,NA,Crawfordsville,NA,NA,0,4352,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA
6,NA,Crawfordsville,NA,NA,0,4351,NA,NA,14,10,NA,NA,NA,NA,NA,NA,NA
10,NA,Crawfordsville,NA,NA,0,4351,NA,NA,14,17,NA,NA,NA,NA,NA,NA,NA
11,NA,Crawfordsville,NA,NA,0,4351,NA,NA,14,20,NA,NA,NA,NA,NA,NA,NA
3,NA,Crawfordsville,NA,NA,0,4351,NA,NA,15,6,NA,NA,NA,NA,NA,NA,NA
4,NA,Crawfordsville,NA,NA,0,4351,NA,NA,15,7,NA,NA,NA,NA,NA,NA,NA
0,NA,Crawfordsville,NA,NA,0,4351,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA
1,NA,Crawfordsville,NA,NA,0,4351,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA
8,NA,Crawfordsville,NA,NA,0,4351,NA,NA,18,12,NA,NA,NA,NA,NA,NA,NA
2,NA,Crawfordsville,NA,NA,0,4351,NA,NA,19,4,NA,NA,NA,NA,NA,NA,NA
5,NA,Crawfordsville,NA,NA,0,4351,NA,NA,19,8,NA,NA,NA,NA,NA,NA,NA
7,NA,Crawfordsville,NA,NA,0,4351,NA,NA,19,10,NA,NA,NA,NA,NA,NA,NA
9,NA,Crawfordsville,NA,NA,0,4351,NA,NA,19,15,NA,NA,NA,NA,NA,NA,NA
12,NA,Crawfordsville,NA,NA,0,4351,NA,NA,19,20,NA,NA,NA,NA,NA,NA,NA
1,NA,Crawfordsville,NA,NA,0,4353,NA,NA,42,5,NA,NA,NA,NA,NA,NA,NA
2,NA,Crawfordsville,NA,NA,0,4353,NA,NA,42,7,NA,NA,NA,NA,NA,NA,NA
5,NA,Crawfordsville,NA,NA,0,4353,NA,NA,42,16,NA,NA,NA,NA,NA,NA,NA
6,NA,Crawfordsville,NA,NA,0,4353,NA,NA,43,32,NA,NA,NA,NA,NA,NA,NA
4,NA,Crawfordsville,NA,NA,0,4353,NA,NA,44,10,NA,NA,NA,NA,NA,NA,NA
0,NA,Crawfordsville,NA,NA,0,4353,NA,NA,45,3,NA,NA,NA,NA,NA,NA,NA
3,NA,Crawfordsville,NA,NA,0,4353,NA,NA,45,7,NA,NA,NA,NA,NA,NA,NA
0,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA
2,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,3,NA,NA,NA,NA,NA,NA,NA
4,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,4,NA,NA,NA,NA,NA,NA,NA
6,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,5,NA,NA,NA,NA,NA,NA,NA
8,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,6,NA,NA,NA,NA,NA,NA,NA
10,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,7,NA,NA,NA,NA,NA,NA,NA
12,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA
14,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,9,NA,NA,NA,NA,NA,NA,NA
16,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,10,NA,NA,NA,NA,NA,NA,NA
18,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,11,NA,NA,NA,NA,NA,NA,NA
20,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,12,NA,NA,NA,NA,NA,NA,NA
22,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,13,NA,NA,NA,NA,NA,NA,NA
24,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA
26,NA,Lincoln,NA,NA,0,hybrids,NA,NA,14,15,NA,NA,NA,NA,NA,NA,NA
1,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA
3,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA
5,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,4,NA,NA,NA,NA,NA,NA,NA
7,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,5,NA,NA,NA,NA,NA,NA,NA
9,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,6,NA,NA,NA,NA,NA,NA,NA
11,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,7,NA,NA,NA,NA,NA,NA,NA
13,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,8,NA,NA,NA,NA,NA,NA,NA
15,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,9,NA,NA,NA,NA,NA,NA,NA
17,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,10,NA,NA,NA,NA,NA,NA,NA
19,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,11,NA,NA,NA,NA,NA,NA,NA
21,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,12,NA,NA,NA,NA,NA,NA,NA
23,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,13,NA,NA,NA,NA,NA,NA,NA
25,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,14,NA,NA,NA,NA,NA,NA,NA
27,NA,Lincoln,NA,NA,0,hybrids,NA,NA,27,15,NA,NA,NA,NA,NA,NA,NA
0,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,4,27,NA,NA,NA,NA,NA,NA,NA
1,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,17,29,NA,NA,NA,NA,NA,NA,NA
2,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,20,29,NA,NA,NA,NA,NA,NA,NA
3,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,21,23,NA,NA,NA,NA,NA,NA,NA
4,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,28,27,NA,NA,NA,NA,NA,NA,NA
5,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,31,27,NA,NA,NA,NA,NA,NA,NA
6,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,36,27,NA,NA,NA,NA,NA,NA,NA
7,NA,MOValley,NA,NA,0,Hyrbrids,NA,NA,41,27,NA,NA,NA,NA,NA,NA,NA
0,NA,Scottsbluff,NA,Low,0,,NA,NA,23,4,NA,NA,NA,NA,NA,NA,NA
0,NA,Scottsbluff,NA,Medium,0,,NA,NA,23,17,NA,NA,NA,NA,NA,NA,NA
0,NA,Scottsbluff,NA,High,0,,NA,NA,23,26,NA,NA,NA,NA,NA,NA,NA
1,NA,Scottsbluff,NA,Low,0,,NA,NA,23,7,NA,NA,NA,NA,NA,NA,NA
1,NA,Scottsbluff,NA,Medium,0,,NA,NA,24,17,NA,NA,NA,NA,NA,NA,NA
1,NA,Scottsbluff,NA,High,0,,NA,NA,24,26,NA,NA,NA,NA,NA,NA,NA
2,NA,Scottsbluff,NA,Low,0,,NA,NA,24,7,NA,NA,NA,NA,NA,NA,NA
2,NA,Scottsbluff,NA,Medium,0,,NA,NA,25,17,NA,NA,NA,NA,NA,NA,NA
2,NA,Scottsbluff,NA,High,0,,NA,NA,25,26,NA,NA,NA,NA,NA,NA,NA
3,NA,Scottsbluff,NA,Low,0,,NA,NA,25,7,NA,NA,NA,NA,NA,NA,NA
3,NA,Scottsbluff,NA,Medium,0,,NA,NA,26,17,NA,NA,NA,NA,NA,NA,NA
3,NA,Scottsbluff,NA,High,0,,NA,NA,26,26,NA,NA,NA,NA,NA,NA,NA
4,NA,Scottsbluff,NA,Low,0,,NA,NA,26,7,NA,NA,NA,NA,NA,NA,NA
4,NA,Scottsbluff,NA,Medium,0,,NA,NA,27,17,NA,NA,NA,NA,NA,NA,NA
4,NA,Scottsbluff,NA,High,0,,NA,NA,27,26,NA,NA,NA,NA,NA,NA,NA
5,NA,Scottsbluff,NA,Low,0,,NA,NA,27,7,NA,NA,NA,NA,NA,NA,NA
393,22-A-1585173,Ames,0,Low,75,4233,17.5,1,4,12,1585173,2369 X 3IIH6,2022-05-23,65,NA,NA,174.48
475,22-A-1585261,Ames,0,Low,75,4233,17.5,2,8,15,1585261,2369 X 3IIH6,2022-05-23,52,NA,NA,184.74
325,22-A-1585101,Ames,0,Low,75,4233,17.5,1,4,3,1585101,2369 X LH123HT,2022-05-23,57,NA,NA,171.61
409,22-A-1585189,Ames,0,Low,75,4233,17.5,2,5,22,1585189,2369 X LH123HT,2022-05-23,63,NA,NA,90.78
359,22-A-1585137,Ames,0,Low,75,4233,17.5,1,8,7,1585137,2369 X PHN82,2022-05-23,62,NA,NA,117.26
442,22-A-1585225,Ames,0,Low,75,4233,17.5,2,9,16,1585225,2369 X PHN82,2022-05-23,62,NA,NA,122.41
412,22-A-1585192,Ames,0,Low,75,4233,17.5,2,6,20,1585192,2369 X PHP02,2022-05-23,65,NA,NA,131.15
328,22-A-1585104,Ames,0,Low,75,4233,17.5,1,7,3,1585104,2369 X PHP02,2022-05-23,52,NA,NA,171.44
356,22-A-1585134,Ames,0,Low,75,4233,17.5,1,5,7,1585134,2369 X PHZ51,2022-05-23,65,NA,NA,116.02
439,22-A-1585222,Ames,0,Low,75,4233,17.5,2,7,24,1585222,2369 X PHZ51,2022-05-23,65,NA,NA,129.74
332,22-A-1585108,Ames,0,Low,75,4233,17.5,1,3,4,1585108,2FACC X 3IIH6,2022-05-23,69,NA,NA,149.08
415,22-A-1585196,Ames,0,Low,75,4233,17.5,2,8,16,1585196,2FACC X 3IIH6,2022-05-23,65,NA,NA,172.27
414,22-A-1585195,Ames,0,Low,75,4233,17.5,2,3,14,1585195,4N506 X 3IIH6,2022-05-23,65,NA,NA,162.27
331,22-A-1585107,Ames,0,Low,75,4233,17.5,1,10,3,1585107,4N506 X 3IIH6,2022-05-23,57,NA,NA,175.25
362,22-A-1585140,Ames,0,Low,75,4233,17.5,1,3,8,1585140,B105 X 3IIH6,2022-05-23,56,NA,NA,94.98
445,22-A-1585228,Ames,0,Low,75,4233,17.5,2,10,24,1585228,B105 X 3IIH6,2022-05-23,64,NA,NA,159.48
326,22-A-1585102,Ames,0,Low,75,4233,17.5,1,5,3,1585102,B14A X MO17,2022-05-23,67,NA,NA,154.03
410,22-A-1585190,Ames,0,Low,75,4233,17.5,2,6,16,1585190,B14A X MO17,2022-05-23,60,NA,NA,161.11
427,22-A-1585209,Ames,0,Low,75,4233,17.5,2,4,19,1585209,B37 X H95,2022-05-23,74,NA,NA,64.05
344,22-A-1585121,Ames,0,Low,75,4233,17.5,1,8,5,1585121,B37 X H95,2022-05-23,63,NA,NA,106.29
394,22-A-1585174,Ames,0,Low,75,4233,17.5,1,5,12,1585174,B37 X MO17,2022-05-23,73,NA,NA,157.36
476,22-A-1585262,Ames,0,Low,75,4233,17.5,2,7,19,1585262,B37 X MO17,2022-05-23,66,NA,NA,121.29
374,22-A-1585153,Ames,0,Low,75,4233,17.5,1,8,9,1585153,B37 X OH43,2022-05-23,74,NA,NA,134.57
456,22-A-1585241,Ames,0,Low,75,4233,17.5,2,8,24,1585241,B37 X OH43,2022-05-23,67,NA,NA,118.43
330,22-A-1585106,Ames,0,Low,75,4233,17.5,1,9,3,1585106,B73 X 3IIH6,2022-05-23,57,NA,NA,193.47
413,22-A-1585194,Ames,0,Low,75,4233,17.5,2,9,20,1585194,B73 X 3IIH6,2022-05-23,61,NA,NA,174.06
424,22-A-1585206,Ames,0,Low,75,4233,17.5,2,4,17,1585206,B73 X MO17,2022-05-23,65,NA,NA,126.57
341,22-A-1585118,Ames,0,Low,75,4233,17.5,1,5,5,1585118,B73 X MO17,2022-05-23,58,NA,NA,151.82
385,22-A-1585164,Ames,0,Low,75,4233,17.5,1,3,11,1585164,B73 X PHM49,2022-05-23,67,NA,NA,128.98
467,22-A-1585252,Ames,0,Low,75,4233,17.5,2,9,21,1585252,B73 X PHM49,2022-05-23,62,NA,NA,139.93
458,22-A-1585243,Ames,0,Low,75,4233,17.5,2,7,14,1585243,B73 X PHN82,2022-05-23,53,NA,NA,137.7
376,22-A-1585155,Ames,0,Low,75,4233,17.5,1,10,9,1585155,B73 X PHN82,2022-05-23,56,NA,NA,177.63
392,22-A-1585172,Ames,0,Low,75,4233,17.5,1,3,12,1585172,B73 X PHZ51,2022-05-23,60,NA,NA,103.34
474,22-A-1585260,Ames,0,Low,75,4233,17.5,2,5,23,1585260,B73 X PHZ51,2022-05-23,58,NA,NA,147.77
378,22-A-1585157,Ames,0,Low,75,4233,17.5,1,4,11,1585157,B84 X 3IIH6,2022-05-23,64,NA,NA,156.89
460,22-A-1585245,Ames,0,Low,75,4233,17.5,2,5,17,1585245,B84 X 3IIH6,2022-05-23,60,NA,NA,135.91
416,22-A-1585197,Ames,0,Low,75,4233,17.5,2,3,23,1585197,F42 X MO17,2022-05-23,61,NA,NA,138
333,22-A-1585109,Ames,0,Low,75,4233,17.5,1,4,4,1585109,F42 X MO17,2022-05-23,62,NA,NA,162.43
379,22-A-1585158,Ames,0,Low,75,4233,17.5,1,5,10,1585158,F42 X OH43,2022-05-23,73,NA,NA,124.69
461,22-A-1585246,Ames,0,Low,75,4233,17.5,2,9,17,1585246,F42 X OH43,2022-05-23,66,NA,NA,97.88
425,22-A-1585207,Ames,0,Low,75,4233,17.5,2,4,23,1585207,HOEGEMEYER 7089 AMXT,2022-05-23,65,NA,NA,137.09
342,22-A-1585119,Ames,0,Low,75,4233,17.5,1,6,5,1585119,HOEGEMEYER 7089 AMXT,2022-05-23,49,NA,NA,134.97
473,22-A-1585259,Ames,0,Low,75,4233,17.5,2,4,24,1585259,HOEGEMEYER 8065RR,2022-05-23,50,NA,NA,111.36
391,22-A-1585171,Ames,0,Low,75,4233,17.5,1,10,11,1585171,HOEGEMEYER 8065RR,2022-05-23,58,NA,NA,198.42
446,22-A-1585229,Ames,0,Low,75,4233,17.5,2,3,15,1585229,LH123HT X 3IIH6,2022-05-23,67,NA,NA,163.37
363,22-A-1585141,Ames,0,Low,75,4233,17.5,1,4,8,1585141,LH123HT X 3IIH6,2022-05-23,61,NA,NA,152.63
441,22-A-1585224,Ames,0,Low,75,4233,17.5,2,6,21,1585224,LH123HT X PHB47,2022-05-23,63,NA,NA,156.27
358,22-A-1585136,Ames,0,Low,75,4233,17.5,1,7,7,1585136,LH123HT X PHB47,2022-05-23,67,NA,NA,144.63
370,22-A-1585149,Ames,0,Low,75,4233,17.5,1,4,9,1585149,LH145 X LH162,2022-05-23,66,NA,NA,142.7
452,22-A-1585237,Ames,0,Low,75,4233,17.5,2,6,23,1585237,LH145 X LH162,2022-05-23,68,NA,NA,145.72
406,22-A-1585186,Ames,0,Low,75,4233,17.5,1,9,13,1585186,LH185 X LH145,2022-05-23,61,NA,NA,143.07
405,22-A-1585185,Ames,0,Low,75,4233,17.5,1,8,13,1585185,LH185 X LH82,2022-05-23,58,NA,NA,188.24
485,22-A-1585273,Ames,0,Low,75,4233,17.5,2,10,14,1585273,LH185 X LH82,2022-05-23,56,NA,NA,170.56
404,22-A-1585184,Ames,0,Low,75,4233,17.5,1,7,13,1585184,LH185 X W606S,2022-05-23,61,NA,NA,155.02
324,22-A-1570100,Ames,0,Low,75,4233,17.5,1,3,3,1570100,LH195 X 3IIH6,2022-05-23,62,NA,NA,141.65
408,22-A-1585188,Ames,0,Low,75,4233,17.5,2,3,22,1585188,LH195 X 3IIH6,2022-05-23,72,NA,NA,141.07
354,22-A-1585132,Ames,0,Low,75,4233,17.5,1,3,7,1585132,LH195 X LH123HT,2022-05-23,61,NA,NA,105.62
437,22-A-1585220,Ames,0,Low,75,4233,17.5,2,7,23,1585220,LH195 X LH123HT,2022-05-23,61,NA,NA,170.01
420,22-A-1585201,Ames,0,Low,75,4233,17.5,2,6,22,1585201,LH195 X LH185,2022-05-23,61,NA,NA,158.88
337,22-A-1585113,Ames,0,Low,75,4233,17.5,1,8,4,1585113,LH195 X LH185,2022-05-23,55,NA,NA,168.46
428,22-A-1585211,Ames,0,Low,75,4233,17.5,2,6,19,1585211,LH195 X PHM49,2022-05-23,68,NA,NA,96.47
345,22-A-1585123,Ames,0,Low,75,4233,17.5,1,10,5,1585123,LH195 X PHM49,2022-05-23,64,NA,NA,137.44
457,22-A-1585242,Ames,0,Low,75,4233,17.5,2,7,15,1585242,LH195 X PHZ51,2022-05-23,66,NA,NA,119.26
375,22-A-1585154,Ames,0,Low,75,4233,17.5,1,9,9,1585154,LH195 X PHZ51,2022-05-23,62,NA,NA,161.49
388,22-A-1585168,Ames,0,Low,75,4233,17.5,1,7,11,1585168,LH198 X PHB47,2022-05-23,57,NA,NA,132.89
470,22-A-1585256,Ames,0,Low,75,4233,17.5,2,10,22,1585256,LH198 X PHB47,2022-05-23,57,NA,NA,140.18
346,22-A-1585124,Ames,0,Low,75,4233,17.5,1,3,6,1585124,LH198 X PHZ51,2022-05-23,65,NA,NA,111.68
429,22-A-1585212,Ames,0,Low,75,4233,17.5,2,3,21,1585212,LH198 X PHZ51,2022-05-23,63,NA,NA,79.42
360,22-A-1585138,Ames,0,Low,75,4233,17.5,1,9,7,1585138,LH74 X PHM49,2022-05-23,63,NA,NA,149.7
443,22-A-1585226,Ames,0,Low,75,4233,17.5,2,10,18,1585226,LH74 X PHM49,2022-05-23,60,NA,NA,131.49
421,22-A-1585202,Ames,0,Low,75,4233,17.5,2,8,23,1585202,LH74 X PHN82,2022-05-23,68,NA,NA,151.44
338,22-A-1585114,Ames,0,Low,75,4233,17.5,1,9,4,1585114,LH74 X PHN82,2022-05-23,62,NA,NA,152.13
351,22-A-1585129,Ames,0,Low,75,4233,17.5,1,8,6,1585129,LH82 X PHB47,2022-05-23,60,NA,NA,158.17
434,22-A-1585217,Ames,0,Low,75,4233,17.5,2,8,21,1585217,LH82 X PHB47,2022-05-23,67,NA,NA,146.7
444,22-A-1585227,Ames,0,Low,75,4233,17.5,2,9,14,1585227,LH82 X PHJ89,2022-05-23,56,NA,NA,175.02
361,22-A-1585139,Ames,0,Low,75,4233,17.5,1,10,7,1585139,LH82 X PHJ89,2022-05-23,61,NA,NA,179.68
373,22-A-1585152,Ames,0,Low,75,4233,17.5,1,7,9,1585152,LH82 X W606S,2022-05-23,50,NA,NA,149.42
455,22-A-1585240,Ames,0,Low,75,4233,17.5,2,9,15,1585240,LH82 X W606S,2022-05-23,51,NA,NA,170.47
340,22-A-1585116,Ames,0,Low,75,4233,17.5,1,3,5,1585116,N209 X 3IIH6,2022-05-23,64,NA,NA,134.42
423,22-A-1585204,Ames,0,Low,75,4233,17.5,2,7,21,1585204,N209 X 3IIH6,2022-05-23,64,NA,NA,143.63
436,22-A-1585219,Ames,0,Low,75,4233,17.5,2,5,14,1585219,PHB47 X 3IIH6,2022-05-23,65,NA,NA,160.85
353,22-A-1585131,Ames,0,Low,75,4233,17.5,1,10,6,1585131,PHB47 X 3IIH6,2022-05-23,67,NA,NA,178.1
352,22-A-1585130,Ames,0,Low,75,4233,17.5,1,9,6,1585130,PHB47 X LH185,2022-05-23,69,NA,NA,168.55
435,22-A-1585218,Ames,0,Low,75,4233,17.5,2,10,17,1585218,PHB47 X LH185,2022-05-23,63,NA,NA,138.8
364,22-A-1585142,Ames,0,Low,75,4233,17.5,1,5,8,1585142,PHB47 X PHJ89,2022-05-23,63,NA,NA,131.61
367,22-A-1585145,Ames,0,Low,75,4233,17.5,1,8,8,1585145,PHB47 X PHK56,2022-05-23,67,NA,NA,175.08
449,22-A-1585233,Ames,0,Low,75,4233,17.5,2,10,15,1585233,PHB47 X PHK56,2022-05-23,69,NA,NA,181.96
386,22-A-1585166,Ames,0,Low,75,4233,17.5,1,5,11,1585166,PHG39 X PHM49,2022-05-23,65,NA,NA,167.18
468,22-A-1585254,Ames,0,Low,75,4233,17.5,2,6,15,1585254,PHG39 X PHM49,2022-05-23,60,NA,NA,122.36
329,22-A-1585105,Ames,0,Low,75,4233,17.5,1,8,3,1585105,PHG39 X PHN82,2022-05-23,65,NA,NA,189.48
440,22-A-1585223,Ames,0,Low,75,4233,17.5,2,5,20,1585223,PHJ40 X LH82,2022-05-23,60,NA,NA,113.39
357,22-A-1585135,Ames,0,Low,75,4233,17.5,1,6,7,1585135,PHJ40 X LH82,2022-05-23,63,NA,NA,161.92
349,22-A-1585127,Ames,0,Low,75,4233,17.5,1,6,6,1585127,PHK56 X 3IIH6,2022-05-23,40,NA,NA,154.68
432,22-A-1585215,Ames,0,Low,75,4233,17.5,2,8,19,1585215,PHK56 X 3IIH6,2022-05-23,54,NA,NA,158.53
396,22-A-1585176,Ames,0,Low,75,4233,17.5,1,7,12,1585176,PHK56 X LH145,2022-05-23,61,NA,NA,132.96
403,22-A-1585183,Ames,0,Low,75,4233,17.5,1,6,13,1585183,PHK56 X LH185,2022-05-23,54,NA,NA,153.61
484,22-A-1585271,Ames,0,Low,75,4233,17.5,2,7,16,1585271,PHK56 X LH185,2022-05-23,63,NA,NA,152.37
450,22-A-1585235,Ames,0,Low,75,4233,17.5,2,5,24,1585235,PHK56 X LH198,2022-05-23,54,NA,NA,137.7
