qrCode,location,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5105ROW6$RANGE17$@PHZ51 X LH145,Lincoln,0,Low,75,75,17.5,2,6,17,5105,PHZ51 X LH145,5/16/23,54.0,62.0,1364.975,80.17
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5106ROW7$RANGE17$@B73 X MO17,Lincoln,0,Low,75,75,17.5,2,7,17,5106,B73 X MO17,5/16/23,41.0,69.0,1526.575,101.4
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5107ROW8$RANGE17$@LH195 X PHM49,Lincoln,0,Low,75,75,17.5,2,8,17,5107,LH195 X PHM49,5/16/23,48.0,72.0,1614.625,90.09
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5109ROW10$RANGE17$@2FACC X 3IIH6,Lincoln,0,Low,75,75,17.5,2,10,17,5109,2FACC X 3IIH6,5/16/23,54.0,59.0,1296.725,97.61
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5110ROW11$RANGE17$@B37 X H95,Lincoln,0,Low,75,75,17.5,2,11,17,5110,B37 X H95,5/16/23,34.0,70.0,1555.275,60.59
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5111ROW12$RANGE17$@PHK76 X LH145,Lincoln,0,Low,75,75,17.5,2,12,17,5111,PHK76 X LH145,5/16/23,55.0,60.0,1319.975,108.99
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5126ROW2$RANGE18$@PHP02 X LH82,Lincoln,0,Low,75,75,17.5,2,2,18,5126,PHP02 X LH82,5/16/23,60.0,57.0,1249.125,80.08
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5127ROW3$RANGE18$@HOEGEMEYER 7089 AMXT,Lincoln,0,Low,75,75,17.5,2,3,18,5127,HOEGEMEYER 7089 AMXT,5/16/23,40.0,61.0,1344.175,100.21
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5129ROW5$RANGE18$@PHK56 X LH145,Lincoln,0,Low,75,75,17.5,2,5,18,5129,PHK56 X LH145,5/16/23,48.0,57.0,1249.125,115.3
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5130ROW6$RANGE18$@PHZ51 X LH145,Lincoln,0,Low,75,75,17.5,2,6,18,5130,PHZ51 X LH145,5/16/23,65.0,60.0,1319.975,79.52
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5131ROW7$RANGE18$@LH195 X PHM49,Lincoln,0,Low,75,75,17.5,2,7,18,5131,LH195 X PHM49,5/16/23,49.0,70.0,1555.275,96.71
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5132ROW8$RANGE18$@PHB47 X PHJ89,Lincoln,0,Low,75,75,17.5,2,8,18,5132,PHB47 X PHJ89,5/16/23,51.0,61.0,1344.175,107.66
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5151ROW2$RANGE19$@LH195 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,2,19,5151,LH195 X 3IIH6,5/16/23,71.0,64.0,1408.025,115.84
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5152ROW3$RANGE19$@B37 X MO17,Lincoln,0,Low,75,75,17.5,2,3,19,5152,B37 X MO17,5/16/23,55.0,64.0,1408.025,68.28
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5154ROW5$RANGE19$@LH82 X PHJ89,Lincoln,0,Low,75,75,17.5,2,5,19,5154,LH82 X PHJ89,5/16/23,58.0,58.0,1273.775,104.68
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5155ROW6$RANGE19$@PHP02 X PHJ89,Lincoln,0,Low,75,75,17.5,2,6,19,5155,PHP02 X PHJ89,5/16/23,50.0,57.0,1249.125,109.21
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5156ROW7$RANGE19$@B84 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,7,19,5156,B84 X 3IIH6,5/16/23,57.0,65.0,1431.075,93.91
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5157ROW8$RANGE19$@PHP02 X PHG47,Lincoln,0,Low,75,75,17.5,2,8,19,5157,PHP02 X PHG47,5/16/23,49.0,57.0,1249.125,82.67
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5159ROW10$RANGE19$@B73 X PHN82,Lincoln,0,Low,75,75,17.5,2,10,19,5159,B73 X PHN82,5/16/23,56.0,66.0,1452.275,104.11
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5160ROW11$RANGE19$@LH195 X LH123HT,Lincoln,0,Low,75,75,17.5,2,11,19,5160,LH195 X LH123HT,5/16/23,48.0,67.0,1475.175,77.26
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5161ROW12$RANGE19$@2369 X PHN82,Lincoln,0,Low,75,75,17.5,2,12,19,5161,2369 X PHN82,5/16/23,60.0,65.0,1431.075,113.93
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5163ROW14$RANGE19$@PHB47 X LH185,Lincoln,0,Low,75,75,17.5,2,14,19,5163,PHB47 X LH185,5/16/23,58.0,64.0,1408.025,89.87
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5164ROW15$RANGE19$@PHW52 X LH185,Lincoln,0,Low,75,75,17.5,2,15,19,5164,PHW52 X LH185,5/16/23,54.0,64.0,1408.025,100.61
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5165ROW16$RANGE19$@PHK56 X PHJ89,Lincoln,0,Low,75,75,17.5,2,16,19,5165,PHK56 X PHJ89,5/16/23,52.0,63.0,1385.875,64.12
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5167ROW18$RANGE19$@PHB47 X PHK56,Lincoln,0,Low,75,75,17.5,2,18,19,5167,PHB47 X PHK56,5/16/23,34.0,62.0,1364.975,71.78
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5168ROW19$RANGE19$@LH145 X LH162,Lincoln,0,Low,75,75,17.5,2,19,19,5168,LH145 X LH162,5/16/23,57.0,57.0,1249.125,70.04
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5170ROW21$RANGE19$@PHK76 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,21,19,5170,PHK76 X 3IIH6,5/16/23,62.0,61.0,1344.175,113.83
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5172ROW23$RANGE19$@LH123HT X 3IIH6,Lincoln,0,Low,75,75,17.5,2,23,19,5172,LH123HT X 3IIH6,5/16/23,41.0,65.0,1431.075,107.66
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5173ROW24$RANGE19$@LH185 X LH145,Lincoln,0,Low,75,75,17.5,2,24,19,5173,LH185 X LH145,5/16/23,43.0,61.0,1344.175,58.91
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5174ROW25$RANGE19$@PHK56 X LH185,Lincoln,0,Low,75,75,17.5,2,25,19,5174,PHK56 X LH185,5/16/23,54.0,65.0,1431.075,123.55
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5175ROW26$RANGE19$@SYNGENTA NK0760-3111,Lincoln,0,Low,75,75,17.5,2,26,19,5175,SYNGENTA NK0760-3111,5/16/23,36.0,65.0,1431.075,106.75
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5176ROW2$RANGE20$@LH198 X PHB47,Lincoln,0,Low,75,75,17.5,2,2,20,5176,LH198 X PHB47,5/16/23,61.0,66.0,1452.275,88.77
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5177ROW3$RANGE20$@B37 X H95,Lincoln,0,Low,75,75,17.5,2,3,20,5177,B37 X H95,5/16/23,48.0,66.0,1452.275,61.61
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5179ROW5$RANGE20$@PHN46 X W606S,Lincoln,0,Low,75,75,17.5,2,5,20,5179,PHN46 X W606S,5/16/23,41.0,65.0,1431.075,119.12
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5180ROW6$RANGE20$@PHT69 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,6,20,5180,PHT69 X 3IIH6,5/16/23,47.0,56.0,1225.125,110.77
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5181ROW7$RANGE20$@LH185 X LH82,Lincoln,0,Low,75,75,17.5,2,7,20,5181,LH185 X LH82,5/16/23,53.0,62.0,1364.975,109.06
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5182ROW8$RANGE20$@LH195 X LH185,Lincoln,0,Low,75,75,17.5,2,8,20,5182,LH195 X LH185,5/16/23,41.0,67.0,1475.175,82.29
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5184ROW10$RANGE20$@LH123HT X PHB47,Lincoln,0,Low,75,75,17.5,2,10,20,5184,LH123HT X PHB47,5/16/23,54.0,66.0,1452.275,107.18
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5185ROW11$RANGE20$@PHK56 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,11,20,5185,PHK56 X 3IIH6,5/16/23,46.0,57.0,1249.125,101.57
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5186ROW12$RANGE20$@B105 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,12,20,5186,B105 X 3IIH6,5/16/23,46.0,63.0,1385.875,104.84
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5188ROW14$RANGE20$@WF9 X H95,Lincoln,0,Low,75,75,17.5,2,14,20,5188,WF9 X H95,5/16/23,58.0,67.0,1475.175,83.53
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5189ROW15$RANGE20$@PHW52 X PHM49,Lincoln,0,Low,75,75,17.5,2,15,20,5189,PHW52 X PHM49,5/16/23,39.0,67.0,1475.175,85.99
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5190ROW16$RANGE20$@PHP02 X LH185,Lincoln,0,Low,75,75,17.5,2,16,20,5190,PHP02 X LH185,5/16/23,17.0,59.0,1296.725,80.73
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5192ROW18$RANGE20$@PHK76 X W606S,Lincoln,0,Low,75,75,17.5,2,18,20,5192,PHK76 X W606S,5/16/23,44.0,64.0,1408.025,107.94
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5193ROW19$RANGE20$@WYFFELS W1782,Lincoln,0,Low,75,75,17.5,2,19,20,5193,WYFFELS W1782,5/16/23,40.0,61.0,1344.175,121.43
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5195ROW21$RANGE20$@PHN46 X PHK56,Lincoln,0,Low,75,75,17.5,2,21,20,5195,PHN46 X PHK56,5/16/23,49.0,64.0,1408.025,74.03
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5197ROW23$RANGE20$@N209 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,23,20,5197,N209 X 3IIH6,5/16/23,39.0,64.0,1408.025,110.63
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5198ROW24$RANGE20$@LH195 X PHZ51,Lincoln,0,Low,75,75,17.5,2,24,20,5198,LH195 X PHZ51,5/16/23,51.0,66.0,1452.275,79.17
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5199ROW25$RANGE20$@B14A X MO17,Lincoln,0,Low,75,75,17.5,2,25,20,5199,B14A X MO17,5/16/23,63.0,66.0,1452.275,135.01
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5200ROW26$RANGE20$@PHK56 X LH82,Lincoln,0,Low,75,75,17.5,2,26,20,5200,PHK56 X LH82,5/16/23,41.0,62.0,1364.975,113.64
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5201ROW2$RANGE21$@2369 X PHZ51,Lincoln,0,Low,75,75,17.5,2,2,21,5201,2369 X PHZ51,5/16/23,70.0,67.0,1475.175,104.04
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5202ROW3$RANGE21$@PHW52 X PHN82,Lincoln,0,Low,75,75,17.5,2,3,21,5202,PHW52 X PHN82,5/16/23,54.0,67.0,1475.175,89.3
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5204ROW5$RANGE21$@PHP02 X LH145,Lincoln,0,Low,75,75,17.5,2,5,21,5204,PHP02 X LH145,5/16/23,56.0,57.0,1249.125,95.44
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5205ROW6$RANGE21$@2369 X LH123HT,Lincoln,0,Low,75,75,17.5,2,6,21,5205,2369 X LH123HT,5/16/23,62.0,67.0,1475.175,86.9
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5206ROW7$RANGE21$@PHK76 X LH145,Lincoln,0,Low,75,75,17.5,2,7,21,5206,PHK76 X LH145,5/16/23,56.0,59.0,1296.725,97.83
